tweet,date,user_location,id,link
"Hoy estuve en la sesión del Concejo de Sincelejo, hice énfasis sobre la omisión de algunos cabildantes que, aunque llevan varios periodos en esta corporación, no han ejercido el debido control político en materia de seguridad, video en el link https://t.co/LIlRqoG55a https://t.co/0m0zJ3kHKW",2022-10-08 17:10:11+00:00,"Sincelejo, Colombia",1578794900233285632,https://twitter.com/i/web/status/1578794900233285632
@PorLaVidaDigna @petrogustavo @DNP_Colombia @velascoluisf Porque sincelejo no aparece en ese listado?????,2022-10-08 16:45:48+00:00,,1578788764063006720,https://twitter.com/i/web/status/1578788764063006720
@Korraleja Que tal que venga los motocarro será peor pobre Sincelejo cómo ese es el forti Delos políticos para sus campañas y  los motaxista??????,2022-10-08 16:22:35+00:00,,1578782922227736581,https://twitter.com/i/web/status/1578782922227736581
@poIiacriIamide Jajajajajaja la brincona anda por Sincelejo hoy con el registrador Vega. Haciendo show con la cédula digital.,2022-10-08 16:16:27+00:00,"Sincelejo, Colombia",1578781379332304898,https://twitter.com/i/web/status/1578781379332304898
@Korraleja Señores aqui se trata de servicio urbano y no de motocarro la ideal para Sincelejo es el servicio urbano no en atraso??????,2022-10-08 15:32:34+00:00,,1578770333490098176,https://twitter.com/i/web/status/1578770333490098176
"Mi hija IsabelMaria puede llevar 6 años viviendo en sincelejo, pero ese swing cartagenero no lo pierde, esa sacudida de pelo y lo que le gusta la champeta la identifican💃
Ella dice que es cartagenera de nacimiento y sincelejana de ❤ https://t.co/V9biR0rmH5",2022-10-08 15:28:03+00:00,"Sincelejo, Colombia",1578769197454483457,https://twitter.com/i/web/status/1578769197454483457
@_AnuarAlvarez Es que la gente de Sincelejo no toda es como tú o tu familia ...creeo que por eso lo dices..?,2022-10-08 15:17:56+00:00,sincelejo (sucre),1578766653201862656,https://twitter.com/i/web/status/1578766653201862656
"📢 iATENCIÓN! #NACIONAL 

Borracho estrelló camioneta en Sincelejo

#ChicaNoticias #MásContenidos #NuevosProgramas https://t.co/OXt7PwCc6v",2022-10-08 15:04:41+00:00,"Córdoba, Colombia",1578763318575390721,https://twitter.com/i/web/status/1578763318575390721
"📳 Cuerpo de #Bomberos rescató a dos #menores y dos #adultos tras caída de su #vehículo al #abismo del sector “Curva de la Virgen”, zona norte de #Bucaramanga, quienes viajaban desde #Sincelejo a #Santander.

Afortunadamente las 4 personas resultaron #ilesas. https://t.co/FSvuv1UwlG",2022-10-08 14:47:36+00:00,"Sincelejo, Colombia",1578759016246747136,https://twitter.com/i/web/status/1578759016246747136
"#EsNoticia | Sincelejo fue el escenario para el inicio de los Foros Regionales Agropecuarios que tienen como objetivo escuchar a los actores que mueven la actividad agropecuaria y ofrecerles soluciones. @BancoAgrario @MinAgricultura 
https://t.co/cYRy4IjOd9",2022-10-08 14:05:00+00:00,"Montería, Córdoba - Colombia",1578748296847392774,https://twitter.com/i/web/status/1578748296847392774
