palabra,cnt,ciudad
cuidar,0.023529411764705882,Medellín
vida,0.023529411764705882,Medellín
actividad,0.023529411764705882,Medellín
sigo,0.011764705882352941,Medellín
entender,0.011764705882352941,Medellín
fin,0.011764705882352941,Medellín
supone,0.011764705882352941,Medellín
dia,0.011764705882352941,Medellín
compró,0.011764705882352941,Medellín
trago,0.011764705882352941,Medellín
listas,0.011764705882352941,Medellín
sé,0.011764705882352941,Medellín
pudo,0.011764705882352941,Medellín
venga,0.011764705882352941,Medellín
pego,0.011764705882352941,Medellín
canción,0.011764705882352941,Medellín
turno,0.011764705882352941,Medellín
sección,0.011764705882352941,Medellín
columnistas,0.011764705882352941,Medellín
Ktabus,0.011764705882352941,Medellín
unió,0.011764705882352941,Medellín
generan,0.011764705882352941,Medellín
terror,0.011764705882352941,Medellín
aficionados,0.011764705882352941,Medellín
videojuegos,0.011764705882352941,Medellín
miento,0.011764705882352941,Medellín
pana,0.011764705882352941,Medellín
grinch,0.011764705882352941,Medellín
disfrazarme,0.011764705882352941,Medellín
odio,0.011764705882352941,Medellín
fa,0.011764705882352941,Medellín
invitan,0.011764705882352941,Medellín
virgen,0.011764705882352941,Medellín
Carmen,0.011764705882352941,Medellín
AE,0.011764705882352941,Medellín
amp,0.011764705882352941,Medellín
reconocemos,0.011764705882352941,Medellín
importancia,0.011764705882352941,Medellín
evitar,0.011764705882352941,Medellín
invitamos,0.011764705882352941,Medellín
arquitectonicos,0.011764705882352941,Medellín
Colombia,0.011764705882352941,Medellín
trópico,0.011764705882352941,Medellín
repaso,0.011764705882352941,Medellín
país,0.011764705882352941,Medellín
ejercicio,0.011764705882352941,Medellín
interesante,0.011764705882352941,Medellín
dejar,0.011764705882352941,Medellín
sinsabores,0.011764705882352941,Medellín
Lee,0.011764705882352941,Medellín
artículo,0.011764705882352941,Medellín
Eve,0.011764705882352941,Medellín
Efectivo,0.011764705882352941,Medellín
canto,0.011764705882352941,Medellín
ricos,0.011764705882352941,Medellín
chocolates,0.011764705882352941,Medellín
inventar,0.011764705882352941,Medellín
excusas,0.011764705882352941,Medellín
explicar,0.011764705882352941,Medellín
pijama,0.011764705882352941,Medellín
seis,0.011764705882352941,Medellín
treinta,0.011764705882352941,Medellín
ocho,0.011764705882352941,Medellín
pe,0.011764705882352941,Medellín
eme,0.011764705882352941,Medellín
arranco,0.011764705882352941,Medellín
Usted,0.011764705882352941,Medellín
leyendo,0.011764705882352941,Medellín
hágame,0.011764705882352941,Medellín
favor,0.011764705882352941,Medellín
presta,0.011764705882352941,Medellín
cara,0.011764705882352941,Medellín
Moradores,0.011764705882352941,Medellín
Parce,0.011764705882352941,Medellín
propios,0.011764705882352941,Medellín
